2022-08-18 15:43:38,199 INFO    MainThread:15632 [wandb_setup.py:_flush():76] Configure stats pid to 15632
2022-08-18 15:43:38,200 INFO    MainThread:15632 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\.config\wandb\settings
2022-08-18 15:43:38,200 INFO    MainThread:15632 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\Desktop\attentionrl\attentionrl\wandb\settings
2022-08-18 15:43:38,200 INFO    MainThread:15632 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-18 15:43:38,200 INFO    MainThread:15632 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'parallelEvolution.py', 'program': 'c:\\Users\\Andrea\\Desktop\\attentionrl\\attentionrl\\parallelEvolution.py'}
2022-08-18 15:43:38,200 INFO    MainThread:15632 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\Andrea\Desktop\attentionrl\attentionrl\wandb\run-20220818_154338-2iqwk7b5\logs\debug.log
2022-08-18 15:43:38,201 INFO    MainThread:15632 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\Andrea\Desktop\attentionrl\attentionrl\wandb\run-20220818_154338-2iqwk7b5\logs\debug-internal.log
2022-08-18 15:43:38,201 INFO    MainThread:15632 [wandb_init.py:init():495] calling init triggers
2022-08-18 15:43:38,201 INFO    MainThread:15632 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-18 15:43:38,201 INFO    MainThread:15632 [wandb_init.py:init():548] starting backend
2022-08-18 15:43:38,201 INFO    MainThread:15632 [wandb_init.py:init():552] setting up manager
2022-08-18 15:43:38,209 INFO    MainThread:15632 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-08-18 15:43:38,219 INFO    MainThread:15632 [wandb_init.py:init():558] backend started and connected
2022-08-18 15:43:38,224 INFO    MainThread:15632 [wandb_init.py:init():636] updated telemetry
2022-08-18 15:43:38,269 INFO    MainThread:15632 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-18 15:43:38,791 INFO    MainThread:15632 [wandb_run.py:_on_init():1982] communicating current version
2022-08-18 15:43:38,934 INFO    MainThread:15632 [wandb_run.py:_on_init():1986] got version response 
2022-08-18 15:43:38,934 INFO    MainThread:15632 [wandb_init.py:init():700] starting run threads in backend
2022-08-18 15:43:39,147 INFO    MainThread:15632 [wandb_run.py:_console_start():1962] atexit reg
2022-08-18 15:43:39,147 INFO    MainThread:15632 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-18 15:43:39,147 INFO    MainThread:15632 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-18 15:43:39,147 INFO    MainThread:15632 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-18 15:43:39,148 INFO    MainThread:15632 [wandb_init.py:init():732] run started, returning control to user process
2022-08-18 15:43:39,148 INFO    MainThread:15632 [wandb_watch.py:watch():47] Watching
